id_respuesta,empresa_id,region,segmento,antiguedad_cliente,n_compras,nps_score,sat_producto,sat_servicio,sat_precio,sat_soporte,sat_entrega
1,EMP001,Norte,Mediana,9,9,8,3,1,2,1,2
2,EMP001,Norte,Mediana,9,4,6,3,2,2,2,4
3,EMP001,Norte,Mediana,9,6,9,2,2,2,3,2
4,EMP001,Norte,Mediana,9,7,5,3,2,2,3,3
5,EMP001,Norte,Mediana,9,10,7,2,1,1,2,3
6,EMP001,Norte,Mediana,9,8,5,3,2,3,3,4
7,EMP001,Norte,Mediana,9,6,3,1,3,1,4,3
8,EMP001,Norte,Mediana,9,11,4,3,3,2,3,2
9,EMP001,Norte,Mediana,9,9,4,2,3,3,3,2
10,EMP001,Norte,Mediana,9,7,4,3,2,3,2,1
11,EMP001,Norte,Mediana,9,10,9,1,2,2,1,3
12,EMP001,Norte,Mediana,9,9,7,4,2,2,2,3
13,EMP001,Norte,Mediana,9,8,1,2,3,1,1,1
14,EMP001,Norte,Mediana,9,9,7,4,3,3,2,1
15,EMP001,Norte,Mediana,9,8,5,3,3,2,3,2
16,EMP001,Norte,Mediana,9,10,6,3,2,2,2,1
17,EMP001,Norte,Mediana,9,9,3,3,2,2,3,2
18,EMP001,Norte,Mediana,9,9,4,2,1,2,1,2
19,EMP001,Norte,Mediana,9,9,1,3,1,3,2,3
20,EMP001,Norte,Mediana,9,8,8,2,2,2,3,2
21,EMP001,Norte,Mediana,9,10,9,2,1,3,2,1
22,EMP001,Norte,Mediana,9,8,7,1,2,2,2,2
23,EMP001,Norte,Mediana,9,8,3,3,2,1,2,2
24,EMP001,Norte,Mediana,9,8,4,3,3,3,3,2
25,EMP001,Norte,Mediana,9,7,6,3,3,2,2,2
26,EMP002,Norte,Pyme,6,10,3,2,3,2,1,3
27,EMP002,Norte,Pyme,6,11,5,2,1,1,2,1
28,EMP002,Norte,Pyme,6,5,2,2,3,2,4,3
29,EMP002,Norte,Pyme,6,9,5,3,3,4,2,3
30,EMP002,Norte,Pyme,6,5,4,4,3,2,5,2
31,EMP002,Norte,Pyme,6,8,4,3,3,2,2,3
32,EMP002,Norte,Pyme,6,10,8,3,2,2,1,2
33,EMP002,Norte,Pyme,6,5,6,3,2,2,3,3
34,EMP002,Norte,Pyme,6,5,4,2,2,1,4,3
35,EMP002,Norte,Pyme,6,7,4,2,4,2,2,3
36,EMP002,Norte,Pyme,6,9,6,3,3,1,2,2
37,EMP002,Norte,Pyme,6,4,9,3,1,1,1,3
38,EMP002,Norte,Pyme,6,8,6,2,2,2,3,3
39,EMP002,Norte,Pyme,6,5,6,3,1,2,2,1
40,EMP002,Norte,Pyme,6,4,3,3,3,1,2,1
41,EMP002,Norte,Pyme,6,7,6,3,3,2,2,3
42,EMP002,Norte,Pyme,6,6,7,2,1,3,3,2
43,EMP002,Norte,Pyme,6,8,2,3,2,3,2,3
44,EMP002,Norte,Pyme,6,8,9,3,3,1,2,3
45,EMP002,Norte,Pyme,6,6,1,2,2,2,2,2
46,EMP002,Norte,Pyme,6,6,3,3,1,2,3,2
47,EMP002,Norte,Pyme,6,5,5,3,1,2,2,2
48,EMP002,Norte,Pyme,6,8,5,3,2,4,3,3
49,EMP003,Metropolitana,Mediana,8,11,8,4,3,2,3,3
50,EMP003,Metropolitana,Mediana,8,10,8,3,3,2,2,3
51,EMP003,Metropolitana,Mediana,8,8,2,2,4,1,2,2
52,EMP003,Metropolitana,Mediana,8,10,9,3,5,3,4,4
53,EMP003,Metropolitana,Mediana,8,6,8,3,5,1,3,3
54,EMP003,Metropolitana,Mediana,8,5,5,3,1,4,3,2
55,EMP003,Metropolitana,Mediana,8,7,6,3,3,2,3,4
56,EMP003,Metropolitana,Mediana,8,8,5,1,2,2,3,1
57,EMP003,Metropolitana,Mediana,8,8,9,2,3,2,4,3
58,EMP003,Metropolitana,Mediana,8,10,7,3,3,3,1,3
59,EMP003,Metropolitana,Mediana,8,10,4,1,3,3,4,4
60,EMP003,Metropolitana,Mediana,8,5,10,3,4,3,3,4
61,EMP003,Metropolitana,Mediana,8,9,10,2,3,2,2,3
62,EMP003,Metropolitana,Mediana,8,7,8,3,4,2,3,3
63,EMP003,Metropolitana,Mediana,8,4,6,3,3,3,3,2
64,EMP003,Metropolitana,Mediana,8,7,9,1,3,3,4,3
65,EMP003,Metropolitana,Mediana,8,8,5,3,3,2,3,3
66,EMP003,Metropolitana,Mediana,8,11,6,2,3,3,3,3
67,EMP004,Sur,Pyme,1,6,9,5,2,3,2,2
68,EMP004,Sur,Pyme,1,6,8,2,3,3,3,2
69,EMP004,Sur,Pyme,1,7,7,3,2,3,2,3
70,EMP004,Sur,Pyme,1,7,6,3,3,2,2,3
71,EMP004,Sur,Pyme,1,5,7,1,2,1,3,2
72,EMP004,Sur,Pyme,1,2,8,3,2,2,3,3
73,EMP004,Sur,Pyme,1,1,8,1,3,2,2,2
74,EMP004,Sur,Pyme,1,3,4,3,2,1,4,3
75,EMP004,Sur,Pyme,1,6,4,4,4,2,1,2
76,EMP004,Sur,Pyme,1,6,8,3,1,3,2,3
77,EMP004,Sur,Pyme,1,5,6,3,4,3,4,2
78,EMP004,Sur,Pyme,1,4,6,2,2,2,3,2
79,EMP004,Sur,Pyme,1,7,9,3,2,4,1,2
80,EMP004,Sur,Pyme,1,3,3,1,1,2,3,3
81,EMP004,Sur,Pyme,1,8,7,3,2,3,2,3
82,EMP004,Sur,Pyme,1,3,3,2,2,3,2,3
83,EMP004,Sur,Pyme,1,4,2,3,2,2,3,2
84,EMP005,Oriente,Mediana,6,10,9,2,2,1,1,2
85,EMP005,Oriente,Mediana,6,6,4,1,2,1,3,1
86,EMP005,Oriente,Mediana,6,5,3,2,1,2,2,2
87,EMP005,Oriente,Mediana,6,7,5,2,3,1,5,2
88,EMP005,Oriente,Mediana,6,7,8,2,2,1,2,1
89,EMP005,Oriente,Mediana,6,6,7,2,1,2,2,2
90,EMP005,Oriente,Mediana,6,8,6,2,3,2,2,2
91,EMP005,Oriente,Mediana,6,11,3,1,2,1,2,3
92,EMP005,Oriente,Mediana,6,6,10,1,1,2,1,2
93,EMP005,Oriente,Mediana,6,4,3,2,1,1,2,4
94,EMP005,Oriente,Mediana,6,4,8,2,2,2,2,2
95,EMP005,Oriente,Mediana,6,6,5,3,2,2,3,3
96,EMP005,Oriente,Mediana,6,11,5,2,1,2,3,1
97,EMP005,Oriente,Mediana,6,7,9,1,1,1,4,1
98,EMP005,Oriente,Mediana,6,7,9,2,1,2,4,2
99,EMP005,Oriente,Mediana,6,3,3,2,2,1,3,2
100,EMP005,Oriente,Mediana,6,8,5,3,3,2,2,1
101,EMP005,Oriente,Mediana,6,10,7,2,4,2,2,2
102,EMP005,Oriente,Mediana,6,10,6,3,3,2,3,1
103,EMP005,Oriente,Mediana,6,5,5,3,2,1,2,2
104,EMP005,Oriente,Mediana,6,7,5,1,3,3,1,4
105,EMP005,Oriente,Mediana,6,5,7,3,2,2,2,1
106,EMP005,Oriente,Mediana,6,6,3,2,2,2,2,2
107,EMP005,Oriente,Mediana,6,13,5,3,2,2,3,2
108,EMP005,Oriente,Mediana,6,8,7,3,3,2,3,3
109,EMP006,Oriente,Mediana,9,10,6,3,1,2,3,2
110,EMP006,Oriente,Mediana,9,7,7,3,1,3,2,4
111,EMP006,Oriente,Mediana,9,7,6,1,2,2,3,2
112,EMP006,Oriente,Mediana,9,7,6,3,2,2,4,2
113,EMP006,Oriente,Mediana,9,11,7,3,3,3,2,3
114,EMP006,Oriente,Mediana,9,7,8,1,2,2,1,2
115,EMP006,Oriente,Mediana,9,10,4,1,1,2,1,2
116,EMP006,Oriente,Mediana,9,11,4,3,2,2,3,2
117,EMP006,Oriente,Mediana,9,4,5,3,2,2,2,2
118,EMP006,Oriente,Mediana,9,8,6,4,1,2,1,3
119,EMP006,Oriente,Mediana,9,8,4,2,1,2,2,2
120,EMP006,Oriente,Mediana,9,12,5,4,2,2,3,3
121,EMP006,Oriente,Mediana,9,11,3,2,1,2,2,2
122,EMP006,Oriente,Mediana,9,3,2,3,3,2,1,3
123,EMP006,Oriente,Mediana,9,10,7,2,3,1,2,2
124,EMP006,Oriente,Mediana,9,12,4,2,2,1,2,4
125,EMP006,Oriente,Mediana,9,8,3,2,3,2,2,1
126,EMP006,Oriente,Mediana,9,12,8,1,3,4,3,3
127,EMP006,Oriente,Mediana,9,8,3,2,2,1,3,5
128,EMP007,Occidente,Pyme,6,9,9,2,3,3,4,2
129,EMP007,Occidente,Pyme,6,5,4,2,1,3,1,5
130,EMP007,Occidente,Pyme,6,8,3,2,4,2,3,2
131,EMP007,Occidente,Pyme,6,9,2,3,3,2,4,3
132,EMP007,Occidente,Pyme,6,8,3,4,4,4,2,3
133,EMP007,Occidente,Pyme,6,5,7,2,2,3,4,2
134,EMP007,Occidente,Pyme,6,8,2,3,1,2,3,3
135,EMP007,Occidente,Pyme,6,8,8,2,2,4,2,2
136,EMP007,Occidente,Pyme,6,7,8,3,3,3,4,4
137,EMP007,Occidente,Pyme,6,5,7,2,3,3,4,3
138,EMP007,Occidente,Pyme,6,7,5,1,1,2,3,3
139,EMP007,Occidente,Pyme,6,7,8,3,4,2,3,3
140,EMP007,Occidente,Pyme,6,11,5,2,4,2,3,3
141,EMP007,Occidente,Pyme,6,7,5,3,1,1,3,4
142,EMP007,Occidente,Pyme,6,7,3,1,2,1,3,3
143,EMP007,Occidente,Pyme,6,7,6,3,2,3,3,2
144,EMP007,Occidente,Pyme,6,11,6,2,4,1,1,2
145,EMP007,Occidente,Pyme,6,5,3,5,3,3,3,3
146,EMP007,Occidente,Pyme,6,8,9,2,2,3,2,2
147,EMP007,Occidente,Pyme,6,11,5,4,3,1,4,2
148,EMP008,Metropolitana,Pyme,10,8,5,4,3,2,2,3
149,EMP008,Metropolitana,Pyme,10,7,7,2,3,1,3,3
150,EMP008,Metropolitana,Pyme,10,9,8,3,3,3,3,3
151,EMP008,Metropolitana,Pyme,10,8,4,2,3,2,3,2
152,EMP008,Metropolitana,Pyme,10,6,6,3,4,3,3,3
153,EMP008,Metropolitana,Pyme,10,6,8,3,1,3,3,3
154,EMP008,Metropolitana,Pyme,10,11,6,2,3,2,3,2
155,EMP008,Metropolitana,Pyme,10,9,9,3,2,3,4,3
156,EMP008,Metropolitana,Pyme,10,11,3,4,2,4,4,3
157,EMP008,Metropolitana,Pyme,10,12,6,4,3,3,3,4
158,EMP008,Metropolitana,Pyme,10,9,8,2,3,2,1,3
159,EMP008,Metropolitana,Pyme,10,8,9,3,3,3,5,3
160,EMP008,Metropolitana,Pyme,10,12,7,2,4,2,2,4
161,EMP008,Metropolitana,Pyme,10,8,6,3,4,3,3,4
162,EMP008,Metropolitana,Pyme,10,11,10,3,3,4,3,4
163,EMP008,Metropolitana,Pyme,10,10,4,2,3,3,3,4
164,EMP008,Metropolitana,Pyme,10,9,8,3,2,2,4,4
165,EMP008,Metropolitana,Pyme,10,6,6,4,2,3,3,2
166,EMP008,Metropolitana,Pyme,10,7,8,3,2,3,4,3
167,EMP008,Metropolitana,Pyme,10,7,4,3,3,5,3,2
168,EMP008,Metropolitana,Pyme,10,11,10,3,4,3,1,4
169,EMP008,Metropolitana,Pyme,10,9,8,3,2,3,4,4
170,EMP008,Metropolitana,Pyme,10,10,4,3,3,3,1,2
171,EMP008,Metropolitana,Pyme,10,7,5,3,4,4,2,3
172,EMP008,Metropolitana,Pyme,10,9,10,3,4,3,5,3
173,EMP009,Occidente,Pyme,6,6,8,2,3,2,3,3
174,EMP009,Occidente,Pyme,6,8,3,2,3,2,3,1
175,EMP009,Occidente,Pyme,6,9,7,2,3,2,2,3
176,EMP009,Occidente,Pyme,6,10,3,3,2,2,2,1
177,EMP009,Occidente,Pyme,6,9,3,2,2,2,2,3
178,EMP009,Occidente,Pyme,6,9,7,3,3,2,3,4
179,EMP009,Occidente,Pyme,6,7,7,2,2,3,3,2
180,EMP009,Occidente,Pyme,6,11,4,2,2,1,2,3
181,EMP009,Occidente,Pyme,6,8,7,3,2,3,3,2
182,EMP009,Occidente,Pyme,6,9,7,2,1,3,1,2
183,EMP009,Occidente,Pyme,6,5,4,2,2,2,2,2
184,EMP009,Occidente,Pyme,6,3,7,2,1,2,3,2
185,EMP009,Occidente,Pyme,6,5,6,3,1,2,4,2
186,EMP009,Occidente,Pyme,6,11,9,1,3,2,2,2
187,EMP009,Occidente,Pyme,6,10,6,3,2,2,2,4
188,EMP009,Occidente,Pyme,6,7,8,1,1,1,3,3
189,EMP009,Occidente,Pyme,6,7,4,2,2,2,2,2
190,EMP009,Occidente,Pyme,6,9,8,2,4,1,2,2
191,EMP009,Occidente,Pyme,6,8,9,4,2,4,1,2
192,EMP010,Occidente,Mediana,6,8,9,3,3,2,3,2
193,EMP010,Occidente,Mediana,6,11,6,3,1,1,3,2
194,EMP010,Occidente,Mediana,6,8,8,3,3,2,3,3
195,EMP010,Occidente,Mediana,6,7,8,4,1,3,2,2
196,EMP010,Occidente,Mediana,6,8,6,1,3,2,2,3
197,EMP010,Occidente,Mediana,6,6,8,2,2,2,2,3
198,EMP010,Occidente,Mediana,6,9,1,3,1,1,3,4
199,EMP010,Occidente,Mediana,6,5,7,2,4,2,2,1
200,EMP010,Occidente,Mediana,6,5,3,3,2,3,2,2
201,EMP010,Occidente,Mediana,6,7,7,3,1,3,3,4
202,EMP010,Occidente,Mediana,6,9,10,3,3,2,2,4
203,EMP010,Occidente,Mediana,6,7,8,4,1,2,1,4
204,EMP010,Occidente,Mediana,6,6,5,3,3,3,3,4
205,EMP010,Occidente,Mediana,6,5,6,2,3,1,4,2
206,EMP010,Occidente,Mediana,6,7,4,3,3,4,3,2
207,EMP010,Occidente,Mediana,6,6,2,3,3,2,3,3
208,EMP010,Occidente,Mediana,6,9,8,1,2,2,3,5
209,EMP010,Occidente,Mediana,6,4,10,3,1,3,3,2
210,EMP010,Occidente,Mediana,6,6,7,2,2,2,4,2
211,EMP010,Occidente,Mediana,6,6,5,3,1,1,3,2
212,EMP010,Occidente,Mediana,6,6,6,2,2,2,1,3
213,EMP010,Occidente,Mediana,6,7,6,1,1,3,2,4
214,EMP010,Occidente,Mediana,6,7,5,2,3,2,2,2
215,EMP010,Occidente,Mediana,6,8,6,2,2,3,2,2
216,EMP011,Centro,Grande,4,7,6,4,2,2,4,4
217,EMP011,Centro,Grande,4,7,8,3,3,3,4,4
218,EMP011,Centro,Grande,4,7,9,3,4,3,2,4
219,EMP011,Centro,Grande,4,6,2,3,2,3,3,3
220,EMP011,Centro,Grande,4,5,10,1,2,1,3,3
221,EMP011,Centro,Grande,4,5,10,3,1,2,2,4
222,EMP011,Centro,Grande,4,5,4,3,3,3,3,1
223,EMP011,Centro,Grande,4,5,5,2,3,2,3,2
224,EMP011,Centro,Grande,4,4,8,2,3,2,3,3
225,EMP011,Centro,Grande,4,5,7,2,2,3,4,4
226,EMP011,Centro,Grande,4,3,9,3,2,3,3,3
227,EMP011,Centro,Grande,4,4,8,3,2,2,2,5
228,EMP011,Centro,Grande,4,7,4,4,2,3,3,2
229,EMP011,Centro,Grande,4,10,8,3,3,4,3,4
230,EMP011,Centro,Grande,4,5,4,3,1,3,3,3
231,EMP011,Centro,Grande,4,4,7,2,3,2,3,1
232,EMP011,Centro,Grande,4,8,6,3,1,3,3,2
233,EMP011,Centro,Grande,4,9,5,2,4,2,1,4
234,EMP012,Occidente,Mediana,7,1,9,2,2,1,4,2
235,EMP012,Occidente,Mediana,7,8,7,2,3,2,3,1
236,EMP012,Occidente,Mediana,7,5,7,3,3,2,3,2
237,EMP012,Occidente,Mediana,7,3,10,3,4,3,3,2
238,EMP012,Occidente,Mediana,7,5,6,2,1,3,2,4
239,EMP012,Occidente,Mediana,7,9,7,2,2,2,4,5
240,EMP012,Occidente,Mediana,7,8,6,2,1,2,5,2
241,EMP012,Occidente,Mediana,7,10,9,3,3,3,3,4
242,EMP012,Occidente,Mediana,7,9,7,3,2,2,4,2
243,EMP012,Occidente,Mediana,7,8,6,2,3,3,4,2
244,EMP012,Occidente,Mediana,7,8,8,2,3,3,2,3
245,EMP012,Occidente,Mediana,7,8,4,3,2,2,2,2
246,EMP012,Occidente,Mediana,7,7,7,3,4,2,1,2
247,EMP012,Occidente,Mediana,7,4,3,4,3,3,2,3
248,EMP012,Occidente,Mediana,7,12,8,2,4,3,2,4
249,EMP012,Occidente,Mediana,7,10,7,2,3,3,1,3
250,EMP013,Norte,Mediana,6,10,6,2,3,1,3,2
251,EMP013,Norte,Mediana,6,6,3,2,2,1,2,2
252,EMP013,Norte,Mediana,6,6,5,4,2,3,3,3
253,EMP013,Norte,Mediana,6,6,9,2,1,2,2,3
254,EMP013,Norte,Mediana,6,8,8,1,2,3,2,3
255,EMP013,Norte,Mediana,6,8,7,1,1,2,1,2
256,EMP013,Norte,Mediana,6,6,7,4,2,1,3,2
257,EMP013,Norte,Mediana,6,5,7,2,3,1,1,2
258,EMP013,Norte,Mediana,6,7,3,2,3,3,3,3
259,EMP013,Norte,Mediana,6,7,2,3,3,2,1,2
260,EMP013,Norte,Mediana,6,5,5,2,2,2,2,2
261,EMP013,Norte,Mediana,6,7,9,4,2,1,2,2
262,EMP013,Norte,Mediana,6,7,7,2,1,1,1,2
263,EMP013,Norte,Mediana,6,7,4,3,3,3,3,2
264,EMP013,Norte,Mediana,6,8,6,2,2,1,2,2
265,EMP013,Norte,Mediana,6,5,6,1,3,3,3,1
266,EMP013,Norte,Mediana,6,6,5,3,2,1,1,2
267,EMP013,Norte,Mediana,6,8,7,1,2,3,3,1
268,EMP013,Norte,Mediana,6,6,6,2,3,2,4,1
269,EMP013,Norte,Mediana,6,10,7,1,2,2,1,3
270,EMP013,Norte,Mediana,6,11,7,3,1,2,2,3
271,EMP014,Metropolitana,Pyme,10,6,6,4,2,4,2,3
272,EMP014,Metropolitana,Pyme,10,8,7,3,2,2,2,3
273,EMP014,Metropolitana,Pyme,10,12,6,3,3,2,2,4
274,EMP014,Metropolitana,Pyme,10,9,8,3,3,2,5,3
275,EMP014,Metropolitana,Pyme,10,10,8,4,3,2,2,2
276,EMP014,Metropolitana,Pyme,10,12,7,2,3,2,3,4
277,EMP014,Metropolitana,Pyme,10,9,6,1,3,3,3,4
278,EMP014,Metropolitana,Pyme,10,9,8,3,2,2,2,3
279,EMP014,Metropolitana,Pyme,10,10,5,4,1,2,1,4
280,EMP014,Metropolitana,Pyme,10,10,6,2,3,3,4,2
281,EMP014,Metropolitana,Pyme,10,11,7,3,2,2,2,3
282,EMP014,Metropolitana,Pyme,10,9,10,3,3,3,3,2
283,EMP014,Metropolitana,Pyme,10,10,4,2,4,4,2,4
284,EMP014,Metropolitana,Pyme,10,10,10,3,3,1,4,2
285,EMP014,Metropolitana,Pyme,10,10,9,2,3,3,4,3
286,EMP014,Metropolitana,Pyme,10,5,7,3,4,4,3,2
287,EMP014,Metropolitana,Pyme,10,10,8,3,3,2,2,4
288,EMP014,Metropolitana,Pyme,10,7,6,2,4,4,3,2
289,EMP015,Centro,Mediana,5,4,6,3,4,2,2,4
290,EMP015,Centro,Mediana,5,7,7,3,3,2,2,5
291,EMP015,Centro,Mediana,5,8,7,3,2,2,3,2
292,EMP015,Centro,Mediana,5,8,7,3,3,3,3,2
293,EMP015,Centro,Mediana,5,10,10,4,5,3,3,3
294,EMP015,Centro,Mediana,5,8,8,2,2,4,3,5
295,EMP015,Centro,Mediana,5,7,9,3,2,3,2,3
296,EMP015,Centro,Mediana,5,10,6,4,5,2,3,2
297,EMP015,Centro,Mediana,5,6,5,3,3,3,2,3
298,EMP015,Centro,Mediana,5,5,10,2,3,3,2,1
299,EMP015,Centro,Mediana,5,5,8,3,3,3,2,3
300,EMP015,Centro,Mediana,5,4,5,2,3,4,3,3
301,EMP015,Centro,Mediana,5,8,7,2,2,2,4,3
302,EMP015,Centro,Mediana,5,2,6,2,2,3,3,2
303,EMP015,Centro,Mediana,5,8,7,4,2,4,2,2
304,EMP015,Centro,Mediana,5,10,9,4,3,2,4,3
305,EMP015,Centro,Mediana,5,8,6,3,2,2,3,3
306,EMP015,Centro,Mediana,5,8,7,1,2,3,2,4
307,EMP015,Centro,Mediana,5,8,8,2,2,2,4,4
308,EMP015,Centro,Mediana,5,12,6,1,3,3,3,3
309,EMP015,Centro,Mediana,5,6,3,1,3,1,3,1
310,EMP015,Centro,Mediana,5,7,6,3,3,2,3,2
311,EMP015,Centro,Mediana,5,7,5,2,3,3,2,4
312,EMP016,Norte,Pyme,5,6,8,1,3,2,3,2
313,EMP016,Norte,Pyme,5,7,6,2,2,2,3,2
314,EMP016,Norte,Pyme,5,6,5,3,2,1,3,2
315,EMP016,Norte,Pyme,5,8,3,2,3,1,1,2
316,EMP016,Norte,Pyme,5,4,4,4,2,2,4,2
317,EMP016,Norte,Pyme,5,6,7,2,1,1,3,3
318,EMP016,Norte,Pyme,5,6,5,2,2,2,1,3
319,EMP016,Norte,Pyme,5,6,4,2,3,2,2,2
320,EMP016,Norte,Pyme,5,7,3,2,3,2,3,2
321,EMP016,Norte,Pyme,5,5,10,2,2,4,2,2
